repo_name,repo_owner,full_name,repo_url,description,created_at,updated_at,topics,stars_count,forks_count,prs_opened_count,prs_merged_count,commits_count,contributors_count,active_days,time_to_first_response,time_to_merge,release_count
git,git,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,2008-07-23T14:21:26Z,2025-11-07T05:51:18Z,"c,hacktoberfest,shell",57144,26932,1799,3,78940,2349,7031,746.27,3062.4,0
gpt4all,nomic-ai,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,2023-03-27T18:49:32Z,2025-11-07T05:50:24Z,"ai-chat,llm-inference",76871,8297,1188,938,2289,122,413,300.34,60.47,38
spring-boot,spring-projects,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",2012-10-19T15:02:57Z,2025-11-07T06:19:38Z,"framework,java,spring,spring-boot",78896,41617,7184,42,58464,1498,4030,108.98,48.84,327
bun,oven-sh,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",2021-04-14T00:48:17Z,2025-11-07T05:20:07Z,"bun,bundler,javascript,javascriptcore,jsx,nodejs,npm,react,transpiler,typescript,zig,ziglang",82009,3479,9172,6539,14039,863,1541,163.0,74.17,202
json-server,typicode,typicode/json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),2013-11-27T13:21:13Z,2025-11-07T03:51:02Z,,75301,7239,425,123,982,92,377,1886.14,372.75,38
hoppscotch,hoppscotch,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",2019-08-21T13:15:24Z,2025-11-07T06:37:18Z,"api,api-client,api-rest,api-testing,developer-tools,graphql,http,http-client,pwa,rest,rest-api,spa,testing,testing-tools,tools,vue,vuejs,websocket",76834,5408,2906,1932,5906,299,1313,327.78,153.91,89
gemini-cli,google-gemini,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,2025-04-17T17:04:31Z,2025-11-07T06:07:41Z,"gemini,gemini-api",81715,9128,5120,3324,3265,351,204,89.28,45.99,165
netdata,netdata,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",2013-06-17T18:39:10Z,2025-11-07T06:49:10Z,"ai,alerting,cncf,data-visualization,database,devops,docker,grafana,influxdb,kubernetes,linux,machine-learning,mcp,mongodb,monitoring,mysql,netdata,observability,postgresql,prometheus",76589,6220,12541,11262,21215,668,3361,332.45,110.5,125
models,tensorflow,tensorflow/models,https://github.com/tensorflow/models,Models and examples built with TensorFlow,2016-02-05T01:15:20Z,2025-11-07T00:49:01Z,,77670,45426,3853,2341,9688,949,2336,723.0,308.42,50
awesome-llm-apps,Shubhamsaboo,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",2024-04-29T05:30:25Z,2025-11-07T07:58:19Z,"llms,python,rag",75316,9905,240,142,808,55,242,108.47,74.59,0
Deep-Live-Cam,hacksider,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,2023-09-24T13:19:31Z,2025-11-07T08:09:12Z,"ai,ai-deep-fake,ai-face,ai-webcam,artificial-intelligence,deep-fake,deepfake,deepfake-webcam,faceswap,fake-webcam,gan,real-time-deepfake,realtime,realtime-deepfake,realtime-face-changer,video-deepfake,webcam,webcamera",75396,10969,246,88,490,56,170,76.02,33.92,7
syncthing,syncthing,syncthing/syncthing,https://github.com/syncthing/syncthing,Open Source Continuous File Synchronization,2013-11-26T09:48:21Z,2025-11-07T06:00:50Z,"go,p2p,peer-to-peer,synchronization",77391,4823,4599,2814,7981,371,2505,194.01,133.08,452
fzf,junegunn,junegunn/fzf,https://github.com/junegunn/fzf,:cherry_blossom: A command-line fuzzy finder,2013-10-23T16:04:23Z,2025-11-07T06:49:55Z,"bash,cli,fish,fzf,go,neovim,tmux,unix,vim,zsh",74933,2611,1087,611,3428,309,1494,651.19,277.88,73
union,unionlabs,unionlabs/union,https://github.com/unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",2023-05-16T22:33:39Z,2025-11-07T05:41:47Z,"astro,blockchain,cosmos,cosmwasm,ethereum,evm,golang,indexer,interoperability,move,nix,prover,relayer,rust,solidity,svelte,typescipt,typescript,zero-knowledge",74500,3836,3354,2980,15842,30,830,231.69,38.93,100
code-server,coder,coder/code-server,https://github.com/coder/code-server,VS Code in the browser,2019-02-27T16:50:41Z,2025-11-07T07:11:03Z,"browser-ide,dev-tools,development-environment,ide,remote-work,vscode,vscode-remote",74554,6328,2056,1594,4013,272,950,385.06,102.16,209
Font-Awesome,FortAwesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",2012-02-17T14:19:43Z,2025-11-07T04:25:16Z,"css,font,fontawesome,icons,svg-icons,svg-sprites,webfont",75786,12203,706,214,6,3,4,3819.6,104.52,62
core,home-assistant,home-assistant/core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,2013-09-17T07:29:48Z,2025-11-07T04:35:27Z,"asyncio,hacktoberfest,home-automation,internet-of-things,iot,mqtt,python,raspberry-pi",82422,35784,90662,78225,101249,4993,4043,27.08,139.68,1526
playwright,microsoft,microsoft/playwright,https://github.com/microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",2019-11-15T18:32:42Z,2025-11-07T06:19:41Z,"automation,chrome,chromium,e2e-testing,electron,end-to-end-testing,firefox,javascript,playwright,test,test-automation,testing,testing-tools,web,webkit",79046,4790,17894,15560,15615,668,1871,121.64,28.93,154
elasticsearch,elastic,elastic/elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",2010-02-08T13:20:56Z,2025-11-07T05:49:52Z,"elasticsearch,java,search-engine",75382,25597,95680,83507,91522,2389,5243,15.85,106.75,218
